,variable,coef,abs_coef
33,log_saleprice,55520.17187284788,55520.17187284788
5,mas_vnr_area,7078.895702382362,7078.895702382362
34,total_sf,6509.2421495456065,6509.2421495456065
6,bsmtfin_sf_1,6165.400825080396,6165.400825080396
13,gr_liv_area,5363.4606822333235,5363.4606822333235
220,neighborhood_NridgHt,4824.108263803461,4824.108263803461
172,functional_Sal,3723.8664894777585,3723.8664894777585
226,neighborhood_StoneBr,3646.3864677813804,3646.3864677813804
337,year_built_2008,3571.0675230254515,3571.0675230254515
150,bsmtfin_type_1_None,3092.3311568581726,3092.3311568581726
38,ms_subclass_30,2874.2552083551705,2874.2552083551705
417,garage_yr_blt_1928.0,2668.987993938676,2668.987993938676
219,neighborhood_NoRidge,2596.6960453931133,2596.6960453931133
163,central_air_Y,-2206.070445372118,2206.070445372118
18,bedroom_abvgr,-2077.4874941252824,2077.4874941252824
496,garage_yr_blt_2009.0,1963.7012962713354,1963.7012962713354
152,bsmtfin_type_1_Unf,1939.9273406626041,1939.9273406626041
23,garage_area,1915.718178267826,1915.718178267826
115,exterior_1st_CemntBd,1779.04094443892,1779.04094443892
199,sale_type_New,1741.9498715423574,1741.9498715423574
335,year_built_2006,1571.5202262030414,1571.5202262030414
65,land_contour_HLS,1563.8581229020958,1563.8581229020958
86,condition_2_PosA,1525.518976970682,1525.518976970682
70,lot_config_CulDSac,1522.869135408687,1522.869135408687
102,roof_style_Gable,-1497.469052945962,1497.469052945962
139,mas_vnr_type_BrkFace,-1463.6766087809183,1463.6766087809183
412,garage_yr_blt_1923.0,-1378.9210912513606,1378.9210912513606
182,garage_finish_RFn,-1328.9352211058576,1328.9352211058576
255,year_built_1923,1287.5771765143174,1287.5771765143174
185,paved_drive_Y,-1255.9107532567043,1255.9107532567043
3,overall_qual,1250.7251247404495,1250.7251247404495
48,ms_subclass_120,-1241.694503128836,1241.694503128836
140,mas_vnr_type_None,1230.4820614270657,1230.4820614270657
148,bsmtfin_type_1_GLQ,1224.1688171519236,1224.1688171519236
87,condition_2_PosN,1217.5166009843183,1217.5166009843183
2,lot_area,1215.5036959672327,1215.5036959672327
174,functional_Typ,1174.5508532326944,1174.5508532326944
7,bsmtfin_sf_2,1158.2836765397922,1158.2836765397922
28,screen_porch,1116.5960527769714,1116.5960527769714
94,bldg_type_TwnhsE,-1082.8798827575558,1082.8798827575558
399,year_remod/add_2010,1080.5782733941728,1080.5782733941728
218,neighborhood_NWAmes,-1072.0041810082962,1072.0041810082962
1,lot_frontage,1032.7880031651166,1032.7880031651166
177,garage_type_BuiltIn,998.4607599474684,998.4607599474684
168,functional_Maj2,914.6579697121058,914.6579697121058
19,kitchen_abvgr,-897.5150752116718,897.5150752116718
116,exterior_1st_HdBoard,-880.306000407419,880.306000407419
216,neighborhood_NAmes,-859.9173475380135,859.9173475380135
47,ms_subclass_90,-856.398653116932,856.398653116932
492,garage_yr_blt_2005.0,827.7969744673164,827.7969744673164
499,garage_yr_blt_None,815.9373301594378,815.9373301594378
160,heating_Grav,786.7491192872203,786.7491192872203
52,ms_subclass_190,-778.1484193612882,778.1484193612882
260,year_built_1928,-777.971641503297,777.971641503297
341,year_remod/add_1952,655.1211757926206,655.1211757926206
402,garage_yr_blt_1910.0,-654.939178894081,654.939178894081
